## Fri Mar 17 08:47:43 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope 1142 --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
SGL_RS05805	1147.D082_25200	4.9e-49	156.0	COG0186@1|root,COG0186@2|Bacteria,1G7Q4@1117|Cyanobacteria,1H5QF@1142|Synechocystis	1142|Synechocystis	J	One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA	rpsQ	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0022626,GO:0022627,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02961	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S17
SGL_RS05810	1148.1652419	1.44e-42	139.0	COG0255@1|root,COG0255@2|Bacteria,1G906@1117|Cyanobacteria,1H5YB@1142|Synechocystis	1142|Synechocystis	J	Ribosomal L29 protein	rpmC	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904	-	ko:K02904	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L29
SGL_RS05815	1148.1652420	1.76e-94	275.0	COG0197@1|root,COG0197@2|Bacteria,1G55B@1117|Cyanobacteria,1H5G9@1142|Synechocystis	1142|Synechocystis	J	Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs	rplP	GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0019843,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0097159,GO:1901363,GO:1990904	-	ko:K02878	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L16
SGL_RS05820	1148.1652421	1.33e-168	471.0	COG0092@1|root,COG0092@2|Bacteria,1G01D@1117|Cyanobacteria,1H4JD@1142|Synechocystis	1142|Synechocystis	J	Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation	rps3	GO:0002181,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0022626,GO:0022627,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02982	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	KH_2,Ribosomal_S3_C
SGL_RS05825	1148.1652422	2.46e-81	241.0	COG0091@1|root,COG0091@2|Bacteria,1G5RR@1117|Cyanobacteria,1H5JM@1142|Synechocystis	1142|Synechocystis	J	Ribosomal protein L22p/L17e	rplV	GO:0003674,GO:0003735,GO:0005198	-	ko:K02890	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L22
SGL_RS05830	1147.D082_25250	1.11e-59	184.0	COG0185@1|root,COG0185@2|Bacteria,1G6J7@1117|Cyanobacteria,1H5JP@1142|Synechocystis	1142|Synechocystis	J	Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA	rpsS	GO:0000028,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006996,GO:0008150,GO:0009987,GO:0015935,GO:0016043,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0032991,GO:0034622,GO:0042254,GO:0042255,GO:0042274,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043933,GO:0044085,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071826,GO:0071840,GO:1990904	-	ko:K02965	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S19
SGL_RS05835	1148.1652424	1.63e-196	545.0	COG0090@1|root,COG0090@2|Bacteria,1G1P7@1117|Cyanobacteria,1H4T6@1142|Synechocystis	1142|Synechocystis	J	One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity	rpl2	GO:0002181,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02886	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L2,Ribosomal_L2_C
SGL_RS05840	1148.1652425	2.7e-62	191.0	COG0089@1|root,COG0089@2|Bacteria,1G7XC@1117|Cyanobacteria,1H5U7@1142|Synechocystis	1142|Synechocystis	J	One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome	rplW	GO:0000027,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042273,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02892	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L23
SGL_RS05845	1148.1652426	6.65e-145	409.0	COG0088@1|root,COG0088@2|Bacteria,1G2H1@1117|Cyanobacteria,1H4V5@1142|Synechocystis	1142|Synechocystis	J	Ribosomal protein L4/L1 family	rpl4	GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02926	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L4
SGL_RS05850	1148.1652427	5.65e-111	323.0	COG0087@1|root,COG0087@2|Bacteria,1FZY5@1117|Cyanobacteria,1H4TP@1142|Synechocystis	1142|Synechocystis	J	One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit	rpl3	-	-	ko:K02906	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L3
SGL_RS05855	1148.1652428	5.04e-109	313.0	COG0783@1|root,COG0783@2|Bacteria,1G586@1117|Cyanobacteria,1H5NG@1142|Synechocystis	1142|Synechocystis	P	Ferritin-like domain	-	-	-	ko:K04047	-	-	-	-	ko00000,ko03036	-	-	-	Ferritin
SGL_RS05860	1147.D082_25320	1.52e-139	394.0	COG3161@1|root,COG3161@2|Bacteria,1G2YI@1117|Cyanobacteria,1H5JQ@1142|Synechocystis	1142|Synechocystis	H	Protein of unknown function (DUF98)	ycf21	-	4.1.3.40	ko:K03181	ko00130,ko01100,ko01110,map00130,map01100,map01110	M00117	R01302	RC00491,RC02148	ko00000,ko00001,ko00002,ko01000	-	-	-	DUF98
SGL_RS05865	1148.1652430	1.84e-292	797.0	COG1409@1|root,COG1409@2|Bacteria,1G30N@1117|Cyanobacteria,1H629@1142|Synechocystis	1142|Synechocystis	S	Calcineurin-like phosphoesterase	-	-	-	-	-	-	-	-	-	-	-	-	Metallophos
SGL_RS05870	1148.1652431	1.49e-93	272.0	2ANKF@1|root,31DJN@2|Bacteria,1G6RN@1117|Cyanobacteria,1H5I1@1142|Synechocystis	1142|Synechocystis	S	Domain of unknown function (DUF1823)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1823
SGL_RS05875	1148.1652432	1.55e-79	236.0	COG2010@1|root,COG2010@2|Bacteria,1G7QR@1117|Cyanobacteria,1H60V@1142|Synechocystis	1142|Synechocystis	C	Functions as an electron carrier between membrane-bound cytochrome b6-f and photosystem I in oxygenic photosynthesis	petJ	-	-	ko:K08906	ko00195,map00195	-	-	-	ko00000,ko00001,ko00194	-	-	-	Cytochrome_CBB3
SGL_RS05880	1148.1652433	2.88e-316	861.0	COG1653@1|root,COG1653@2|Bacteria,1G2MI@1117|Cyanobacteria,1H55S@1142|Synechocystis	1142|Synechocystis	G	Bacterial extracellular solute-binding protein	srrA	-	-	ko:K17244	ko02010,map02010	M00601	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.1.40	-	-	SBP_bac_1
SGL_RS05885	1148.1652434	1.85e-208	577.0	COG0548@1|root,COG0548@2|Bacteria,1G0R4@1117|Cyanobacteria,1H4VK@1142|Synechocystis	1142|Synechocystis	F	Belongs to the acetylglutamate kinase family. ArgB subfamily	argB	GO:0003674,GO:0003824,GO:0003991,GO:0005488,GO:0006082,GO:0006520,GO:0006525,GO:0006526,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016301,GO:0016310,GO:0016597,GO:0016740,GO:0016772,GO:0016774,GO:0019752,GO:0031406,GO:0034618,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0043177,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.7.2.8	ko:K00930	ko00220,ko01100,ko01110,ko01130,ko01210,ko01230,map00220,map01100,map01110,map01130,map01210,map01230	M00028	R02649	RC00002,RC00043	ko00000,ko00001,ko00002,ko01000	-	-	iJN678.argB	AA_kinase
SGL_RS05890	1148.1652435	1.11e-160	449.0	COG0830@1|root,COG0830@2|Bacteria,1G3PC@1117|Cyanobacteria,1H5EZ@1142|Synechocystis	1142|Synechocystis	O	Required for maturation of urease via the functional incorporation of the urease nickel metallocenter	ureF	-	-	ko:K03188	-	-	-	-	ko00000	-	-	-	UreF
SGL_RS05895	1148.1652436	2.88e-153	431.0	28IF9@1|root,2Z8H2@2|Bacteria,1G1GZ@1117|Cyanobacteria,1H5E2@1142|Synechocystis	1142|Synechocystis	S	Protein of unknown function (DUF3386)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3386
SGL_RS05900	1148.1652437	1.62e-228	630.0	COG4586@1|root,COG4586@2|Bacteria,1G012@1117|Cyanobacteria,1H56G@1142|Synechocystis	1142|Synechocystis	S	AAA domain, putative AbiEii toxin, Type IV TA system	-	-	-	ko:K01990	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC_tran
SGL_RS05925	1148.1652442	0.0	2501.0	COG0086@1|root,COG0086@2|Bacteria,1G08B@1117|Cyanobacteria,1H4GK@1142|Synechocystis	1142|Synechocystis	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	rpoC2	GO:0000428,GO:0005575,GO:0005622,GO:0005623,GO:0030880,GO:0032991,GO:0044424,GO:0044464,GO:0061695,GO:1902494,GO:1990234	2.7.7.6	ko:K03046	ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020	M00183	R00435,R00441,R00442,R00443	RC02795	br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	RNA_pol_Rpb1_3,RNA_pol_Rpb1_4,RNA_pol_Rpb1_5
SGL_RS05930	1148.1652443	0.0	2192.0	COG0085@1|root,COG0085@2|Bacteria,1G14Y@1117|Cyanobacteria,1H4S7@1142|Synechocystis	1142|Synechocystis	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	rpoB	GO:0000428,GO:0005575,GO:0005622,GO:0005623,GO:0030880,GO:0032991,GO:0044424,GO:0044464,GO:0061695,GO:1902494,GO:1990234	2.7.7.6	ko:K03043	ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020	M00183	R00435,R00441,R00442,R00443	RC02795	br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	RNA_pol_Rpb2_1,RNA_pol_Rpb2_2,RNA_pol_Rpb2_3,RNA_pol_Rpb2_45,RNA_pol_Rpb2_6,RNA_pol_Rpb2_7
SGL_RS05935	1148.1652444	3.86e-192	532.0	COG0084@1|root,COG0084@2|Bacteria,1G1SK@1117|Cyanobacteria,1H4GT@1142|Synechocystis	1142|Synechocystis	L	TatD related DNase	dtd3	GO:0003674,GO:0003824,GO:0004518,GO:0004536,GO:0006139,GO:0006259,GO:0006308,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0016787,GO:0016788,GO:0019439,GO:0034641,GO:0034655,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0046483,GO:0046700,GO:0071704,GO:0090304,GO:0090305,GO:0140097,GO:1901360,GO:1901361,GO:1901575	-	ko:K03424	-	-	-	-	ko00000,ko01000	-	-	-	TatD_DNase
SGL_RS05940	1148.1652445	7.34e-56	174.0	COG0268@1|root,COG0268@2|Bacteria,1G7PV@1117|Cyanobacteria,1H5ZZ@1142|Synechocystis	1142|Synechocystis	J	Ribosomal protein S20	-	-	-	ko:K02968	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S20p
SGL_RS05945	1148.1652446	0.0	2753.0	COG0517@1|root,COG2202@1|root,COG2203@1|root,COG5002@1|root,COG0517@2|Bacteria,COG2202@2|Bacteria,COG2203@2|Bacteria,COG5002@2|Bacteria,1GHCI@1117|Cyanobacteria,1H6W1@1142|Synechocystis	1142|Synechocystis	T	Domain present in phytochromes and cGMP-specific phosphodiesterases.	-	-	-	-	-	-	-	-	-	-	-	-	GAF,HATPase_c,HisKA,PAS_9
SGL_RS05950	1148.1652447	4.68e-177	493.0	28J5U@1|root,2Z91K@2|Bacteria,1G13N@1117|Cyanobacteria,1H5NN@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS05955	1148.1652448	0.0	1498.0	COG0210@1|root,COG0210@2|Bacteria,1G19W@1117|Cyanobacteria,1H57X@1142|Synechocystis	1142|Synechocystis	L	UvrD-like helicase C-terminal domain	-	-	3.6.4.12	ko:K03657	ko03420,ko03430,map03420,map03430	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	UvrD-helicase,UvrD_C
SGL_RS05960	1148.1652449	0.0	1939.0	COG1196@1|root,COG1196@2|Bacteria,1G19I@1117|Cyanobacteria,1H518@1142|Synechocystis	1142|Synechocystis	D	Required for chromosome condensation and partitioning	smc	-	-	ko:K03529	-	-	-	-	ko00000,ko03036	-	-	-	SMC_N,SMC_hinge
SGL_RS05965	1148.1652450	2.37e-275	751.0	COG2334@1|root,COG2334@2|Bacteria,1G3HF@1117|Cyanobacteria,1H5CW@1142|Synechocystis	1142|Synechocystis	S	Ecdysteroid kinase	-	-	-	-	-	-	-	-	-	-	-	-	APH
SGL_RS05970	1148.1652451	2.62e-166	464.0	COG3793@1|root,COG3793@2|Bacteria,1G090@1117|Cyanobacteria,1H5ES@1142|Synechocystis	1142|Synechocystis	P	Mo-dependent nitrogenase C-terminus	-	-	-	-	-	-	-	-	-	-	-	-	Mo-nitro_C
SGL_RS05975	1148.1652452	2.41e-115	329.0	29FPW@1|root,302MH@2|Bacteria,1G5QH@1117|Cyanobacteria,1H5I7@1142|Synechocystis	1142|Synechocystis	S	Protein of unknown function (DUF3531)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3531
SGL_RS05980	1148.1652453	1.78e-174	501.0	COG0457@1|root,COG0457@2|Bacteria,1G1K2@1117|Cyanobacteria,1H5NC@1142|Synechocystis	1142|Synechocystis	S	Tetratricopeptide repeat	-	-	-	-	-	-	-	-	-	-	-	-	TPR_8
SGL_RS05985	1148.1652454	4.42e-292	796.0	COG0272@1|root,COG0758@1|root,COG0272@2|Bacteria,COG0758@2|Bacteria,1G1EN@1117|Cyanobacteria,1H58D@1142|Synechocystis	1142|Synechocystis	LU	DNA recombination-mediator protein A	-	-	-	ko:K04096	-	-	-	-	ko00000	-	-	-	DNA_processg_A
SGL_RS05990	1147.D082_08630	2.51e-68	207.0	COG0393@1|root,COG0393@2|Bacteria,1G6VA@1117|Cyanobacteria,1H6MM@1142|Synechocystis	1142|Synechocystis	S	Putative heavy-metal-binding	-	-	-	-	-	-	-	-	-	-	-	-	YbjQ_1
SGL_RS05995	1148.1652456	5.38e-38	127.0	2DMVV@1|root,32TZZ@2|Bacteria,1GIID@1117|Cyanobacteria,1H6QY@1142|Synechocystis	1142|Synechocystis	S	Protein of unknown function (DUF2442)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2442
SGL_RS06000	1147.D082_08650	1.07e-155	436.0	COG0450@1|root,COG0450@2|Bacteria,1G0GZ@1117|Cyanobacteria,1H4I8@1142|Synechocystis	1142|Synechocystis	O	C-terminal domain of 1-Cys peroxiredoxin	-	-	-	-	-	-	-	-	-	-	-	-	1-cysPrx_C,AhpC-TSA
SGL_RS06005	1148.1652458	0.0	1142.0	COG0323@1|root,COG0323@2|Bacteria,1G083@1117|Cyanobacteria,1H4XR@1142|Synechocystis	1142|Synechocystis	L	This protein is involved in the repair of mismatches in DNA. It is required for dam-dependent methyl-directed DNA mismatch repair. May act as a molecular matchmaker , a protein that promotes the formation of a stable complex between two or more DNA-binding proteins in an ATP-dependent manner without itself being part of a final effector complex	mutL	GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006281,GO:0006298,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0032300,GO:0032991,GO:0033554,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1990391	-	ko:K03572	ko03430,map03430	-	-	-	ko00000,ko00001,ko03400	-	-	-	DNA_mis_repair,HATPase_c_3,MutL_C
SGL_RS06010	1148.1652459	5.77e-267	732.0	COG0559@1|root,COG0559@2|Bacteria,1G22F@1117|Cyanobacteria,1H5J4@1142|Synechocystis	1142|Synechocystis	E	Branched-chain amino acid transport system / permease component	-	-	-	ko:K11960	ko02010,map02010	M00323	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.4.4,3.A.1.4.5	-	-	BPD_transp_2
SGL_RS06015	1148.1652460	8.32e-294	802.0	COG4177@1|root,COG4177@2|Bacteria,1G0QD@1117|Cyanobacteria,1H5H3@1142|Synechocystis	1142|Synechocystis	E	Branched-chain amino acid transport system / permease component	-	-	-	ko:K11961	ko02010,map02010	M00323	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.4.4,3.A.1.4.5	-	-	BPD_transp_2
SGL_RS06020	1148.1652461	1.12e-214	592.0	COG1175@1|root,COG1175@2|Bacteria,1G1SY@1117|Cyanobacteria,1H4Y1@1142|Synechocystis	1142|Synechocystis	G	Binding-protein-dependent transport system inner membrane component	lacF	-	-	ko:K17245	ko02010,map02010	M00601	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.1.40	-	-	BPD_transp_1
SGL_RS06025	1148.1652462	2.19e-100	291.0	COG2442@1|root,COG2442@2|Bacteria,1G6CJ@1117|Cyanobacteria,1H6I5@1142|Synechocystis	1142|Synechocystis	S	Domain of unknown function DUF29	-	-	-	-	-	-	-	-	-	-	-	-	DUF29
SGL_RS06030	1148.1652463	1.91e-298	816.0	COG0265@1|root,COG0265@2|Bacteria,1G0U4@1117|Cyanobacteria,1H56E@1142|Synechocystis	1142|Synechocystis	O	Trypsin	htrA	-	-	-	-	-	-	-	-	-	-	-	PDZ_2,Trypsin_2
SGL_RS06035	1148.1652464	8.77e-81	241.0	COG2146@1|root,COG2146@2|Bacteria,1G87V@1117|Cyanobacteria,1H6K1@1142|Synechocystis	1142|Synechocystis	P	Rieske-like [2Fe-2S] domain	-	-	-	-	-	-	-	-	-	-	-	-	Rieske
SGL_RS06040	1147.D082_08770	1.87e-159	448.0	COG2801@1|root,COG2801@2|Bacteria,1G53A@1117|Cyanobacteria,1H5IF@1142|Synechocystis	1142|Synechocystis	L	Protein of unknown function (DUF1997)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1997
SGL_RS06045	1148.1652466	2.28e-281	779.0	COG0845@1|root,COG0845@2|Bacteria,1G01U@1117|Cyanobacteria,1H4K7@1142|Synechocystis	1142|Synechocystis	M	Barrel-sandwich domain of CusB or HlyD membrane-fusion	-	-	-	ko:K02005	-	-	-	-	ko00000	-	-	-	Biotin_lipoyl_2,HlyD_D23
SGL_RS06050	1148.1652467	2.68e-39	130.0	2DNSZ@1|root,32YZF@2|Bacteria,1G901@1117|Cyanobacteria,1H6RN@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS06055	1148.1652468	0.0	1298.0	COG1028@1|root,COG3347@1|root,COG1028@2|Bacteria,COG3347@2|Bacteria,1G0Q0@1117|Cyanobacteria,1H6FA@1142|Synechocystis	1142|Synechocystis	IQ	Class II Aldolase and Adducin N-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	Aldolase_II,adh_short
SGL_RS06060	1148.1652469	2.26e-67	204.0	COG2442@1|root,COG2442@2|Bacteria,1GKEP@1117|Cyanobacteria,1H6U8@1142|Synechocystis	1142|Synechocystis	S	Protein of unknown function (DUF433)	-	-	-	-	-	-	-	-	-	-	-	-	DUF433
SGL_RS06065	1148.1652470	1.28e-89	262.0	COG1656@1|root,COG1656@2|Bacteria,1G86A@1117|Cyanobacteria,1H6RW@1142|Synechocystis	1142|Synechocystis	S	Mut7-C RNAse domain	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS06070	1148.1652471	0.0	2185.0	COG1429@1|root,COG1429@2|Bacteria,1G0XP@1117|Cyanobacteria,1H4ZU@1142|Synechocystis	1142|Synechocystis	H	CobN/Magnesium Chelatase	-	-	6.6.1.2	ko:K02230	ko00860,ko01100,map00860,map01100	-	R05227	RC02000	ko00000,ko00001,ko01000	-	-	-	CobN-Mg_chel
SGL_RS06075	1148.1652472	0.0	1608.0	COG2203@1|root,COG3920@1|root,COG4191@1|root,COG2203@2|Bacteria,COG3920@2|Bacteria,COG4191@2|Bacteria,1GPXH@1117|Cyanobacteria,1H6FK@1142|Synechocystis	1142|Synechocystis	T	Histidine kinase	ETR1	-	-	-	-	-	-	-	-	-	-	-	GAF,HATPase_c,HisKA_2,PAS_3
SGL_RS06080	1148.1652473	2.38e-167	468.0	COG0784@1|root,COG2207@1|root,COG0784@2|Bacteria,COG2207@2|Bacteria,1GBGB@1117|Cyanobacteria,1H6I7@1142|Synechocystis	1142|Synechocystis	K	helix_turn_helix, arabinose operon control protein	-	-	-	-	-	-	-	-	-	-	-	-	HTH_18,Response_reg
SGL_RS06085	1148.1652474	2.19e-272	744.0	COG0784@1|root,COG0784@2|Bacteria,1GHBN@1117|Cyanobacteria,1H645@1142|Synechocystis	1142|Synechocystis	T	cheY-homologous receiver domain	-	-	-	ko:K02657	ko02020,ko02025,map02020,map02025	M00507	-	-	ko00000,ko00001,ko00002,ko02022,ko02035,ko02044	-	-	-	Response_reg
